zenith,angle_of_incidence,shortwave_radiation_backwards_sfc,total_cloud_cover_sfc,relative_humidity_2_m_above_gnd,low_cloud_cover_low_cld_lay,medium_cloud_cover_mid_cld_lay,temperature_2_m_above_gnd,total_precipitation_sfc,high_cloud_cover_high_cld_lay,generated_power_kw
81.766611,74.970634,501.07,0,22,0,0,17.72,0,0,141.87328
86.993045,71.2682,186.01,41,55,41,0,0.36,0,0,16.274753
63.221041,44.796586,650.59,0,49,0,0,17,0,0,494.96428
84.042617,102.04346,0,0,57,0,0,12.5,0,0,103.36583
57.468644,44.117378,92.56,100,79,100,100,4.57,0.3,0,384.36778
22.981415,32.859264,941.62,0,32,0,0,20.51,0,0,2331.0637
31.130401,38.017552,208.26,100,23,5,100,28.07,0,87,720.93533
38.248078,36.677464,688.86,56,32,0,56,21.38,0,24,1484.8372
99.524692,96.405439,0,10.5,69,0,9,9.32,0,35,0.85962963
62.62334,21.686838,225.17,88,92,88,0,-2.18,0,0,155.21215
62.581608,76.191421,263.44,0.9,45,0,0,22.39,0,3,1133.0222
23.439843,31.21847,925.6,0,26,0,0,30.38,0,0,2208.4036
65.119656,44.549801,345.32,36,74,36,0,9.65,0,0,1059.0576
27.359453,24.704467,799.22,0,42,0,0,24.06,0,0,2549.1047
41.731321,14.808467,348.88,100,82,100,100,7.28,0.7,0,32.046548
19.686814,26.077528,510.86,32,15,0,32,32.91,0.3,0,385.48584
93.458571,102.29027,0,0,71,0,0,14.13,0,0,30.983479
23.565244,32.708619,469.03,100,28,81,100,25.08,0.8,1,125.9345
58.869089,24.005745,557.14,58,52,0,58,15.77,0,14,228.5125
65.192609,26.662638,485.05,0,26,0,0,12.45,0,0,2089.78
93.422698,116.89845,0,0,85,0,0,14.31,0,0,6.8227778
64.227048,27.588584,339.98,1.5,46,0,0,16.2,0,5,2192.0787
61.823856,75.16742,185.12,100,53,2,100,19.21,0,0,1229.2353
77.055059,73.808113,5.34,100,95,100,100,3.21,2,0,225.46611
99.603422,81.389985,0,100,44,0,100,7.13,0,70,3.7563218
71.127335,46.228438,10.68,100,93,100,0,-0.78,0,0,435.98026
29.195422,16.811749,776.97,10,31,10,10,26.8,0,0,141.84712
30.163858,20.751739,705.77,100,34,0,100,17.17,0,100,2518.3639
89.29779,82.135617,0,100,94,100,100,10.78,0.1,0,1.1984568
69.945957,38.829136,350.66,100,50,100,3,8.11,0,0,471.24194
82.231306,87.876141,0.89,0,89,0,0,4.31,0,0,65.960544
62.333789,30.957074,445.89,100,60,100,0,0.41,0,0,411.4492
65.103101,38.6436,174.44,69,85,69,45,10.66,0.1,100,1286.9806
61.37517,20.983902,299.04,1,50,0,1,0.9,0,0,2709.7533
64.208287,57.926698,221.61,0,89,0,0,6.92,0,0,665.51778
32.383357,40.93986,892.67,0,17,0,0,33.94,0,0,1805.6692
44.123989,48.173827,539.34,0,49,0,0,23.42,0,0,2171.7997
51.420892,60.505862,436.99,0,61,0,0,8.01,0,0,1956.0018
51.720713,29.450006,352.44,2.1,40,0,0,12.72,0,7,2025.6491
42.057988,28.566149,490.39,23,39,23,10,20.06,0,0,2715.2189
64.170369,58.713429,244.75,0,66,0,0,9.04,0,0,1004.3757
83.267328,58.9765,0,0,35,0,0,3.77,0,0,419.20845
36.077574,33.763693,665.72,2.1,50,0,0,17.17,0,7,1772.7464
63.992853,27.42436,293.7,100,63,0,100,14.41,0,100,2453.5392
43.777758,54.324698,261.66,100,66,60,100,15.71,0.3,67,453.08195
23.76096,32.612783,873.98,10,19,0,10,28.21,0,0,1821.4807
75.400676,91.730761,264.33,22,20,0,22,26.74,0,0,0.86238095
93.590895,116.08311,0,0,57,0,0,12.95,0,0,10.733333
58.262676,18.517028,226.95,100,72,100,0,-1.15,0,0,621.0319
85.843735,67.672936,0,8.4,75,0,0,5.95,0,28,945.81861
93.464247,116.12896,0,0.9,45,0,0,13.09,0,3,65.410929
60.602678,24.775509,535.78,0,51,0,0,19.82,0,0,2094.3719
36.847329,10.162192,772.52,2,25,0,2,23.84,0,0,2658.3089
29.071877,38.837571,699.54,10,37,10,0,26.19,0,0,2363.2763
69.643374,38.811339,371.13,100,69,100,70,5.69,0.1,0,88.751389
50.658409,61.352848,432.54,0,36,0,0,22.97,0,0,1564.5903
64.634418,23.884365,453.9,0,48,0,0,12.3,0,0,2568.4284
59.717314,25.034117,393.38,14,74,14,0,9.85,0.2,0,860.99194
39.349924,48.895841,606.09,0,28,0,0,24.02,0,0,2207.6489
77.242116,90.008214,30.26,59,94,59,0,12.25,0,0,393.79111
47.435464,20.445096,576.72,10,39,10,10,19.11,0,0,1531.1657
94.997075,101.50155,0,100,77,0,100,13.54,0,100,64.233889
72.760376,71.706816,82.77,0,52,0,0,14.08,0,0,1271.3978
32.530742,33.810102,728.91,0,44,0,0,19.47,0,0,2612.2005
81.125573,60.366723,0,12,97,12,0,-2.11,0,0,600.64111
23.838996,26.146356,855.29,0,40,0,0,15.7,0,0,2758.105
50.535226,61.646557,400.5,0,26,0,0,21.78,0,0,1784.1819
35.499211,22.38409,854.4,0,33,0,0,18.33,0,0,2824.6611
92.163898,82.185133,0,18.3,74,0,2,8.73,0,61,23.360391
70.142995,40.450761,203.81,2.1,64,0,0,11.84,0,7,1818.556
59.939252,45.57342,732.47,0,34,0,0,7.71,0,0,2261.1239
27.960515,22.475088,642.58,100,51,100,0,17.41,0,0,2282.4732
51.686857,50.233904,525.1,10,43,10,10,12.91,0,0,671.48744
96.173165,81.973467,0,0,33,0,0,7.42,0,0,133.03556
65.663873,50.76745,545.57,1,39,1,0,18.01,0,0,207.84393
44.284441,48.049683,546.46,5.7,27,0,0,26.55,0,19,2271.7903
65.78816,26.79779,407.62,100,35,0,100,16.62,0,100,1379.4865
26.162279,25.904447,749.38,10,28,0,10,30.66,0,0,473.39635
42.967684,45.784241,560.7,4,61,4,0,10.2,0,0,2469.7558
54.62415,11.948455,472.59,100,62,100,0,17.31,0,30,2284.5083
53.617472,11.135813,569.6,14.1,72,13,0,14.27,0.3,47,167.18444
81.737581,60.107916,420.97,0,54,0,0,3.58,0,0,112.26474
53.418778,49.432814,695.98,10,29,10,0,26.31,0,0,374.29917
44.453833,51.551245,764.51,10,34,10,10,27.69,0,0,1431.2097
62.008105,75.782696,258.1,0,55,0,0,20.38,0,0,1156.554
35.861677,33.96347,682.63,0,49,0,0,18.11,0,0,2598.7353
57.019174,12.60724,217.16,88,83,88,0,-2.28,0.1,0,44.916886
65.591365,24.953054,400.5,100,26,0,100,11.86,0,100,1706.41
82.899644,57.808721,3.56,100,88,0,100,2.37,0,100,1026.1208
69.278865,64.566849,448.56,100,43,100,0,15.47,0,0,101.54405
22.769338,32.733317,740.48,10,38,10,10,23.64,0,0,1672.681
65.017356,45.221747,63.19,100,87,100,0,-0.19,0,0,289.35083
54.689059,59.107106,364.01,81,64,0,81,18.44,0,9,1807.6767
93.980161,81.526381,0,17,93,17,6,5.98,0,32,22.870175
66.696071,80.87659,509.97,10,18,0,10,28.02,0,0,90.078056
41.746346,17.608201,381.81,45,59,45,0,3.35,0,0,1995.2404
56.285707,58.807786,346.21,100,60,0,100,11.26,0,100,1404.8224
42.094133,17.396334,319.51,100,85,100,70,7.39,0.1,0,202.1585
62.38486,25.566424,522.43,0,44,0,0,16.86,0,0,2017.5975
82.622047,74.636092,481.49,0,34,0,0,9.46,0,0,123.13811
